LINK	STREET	ANODE	BNODE	LENGTH	type	lanes_ab	speed_ab	cap_ab	lanes_ba	speed_ba	cap_ba	use
439259		81455	71246	73.874566285	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439260		71246	81457	93.3148903225	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439261		81457	81461	74.0445448559	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439262		81461	81466	92.0944186921	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439263		81466	81470	106.205045941	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439264		81470	81474	207.896048922	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439265		81491	81444	670.455047761	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439266		81444	81432	106.345257876	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439267		81432	81427	76.8494717295	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439268		81454	6246	171.06919095	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439269		6246	81459	95.2425777291	OTHER	1	37.2902423866	500	1	37.2902423866	500	ANY
439270		16208	16224	24.6261243368	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439271	Восточный проспект	70962	81622	115.459496442	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439272	Восточный проспект	81622	71361	302.812724609	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439273	Восточный проспект	71361	71314	262.149928263	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439274	Восточный проспект	71314	71436	258.139925587	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439275	Восточный проспект	71436	71397	216.937893719	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439276	Восточный проспект	71397	71342	174.587534608	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439277	Восточный проспект	71342	71285	199.984529135	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439278	Восточный проспект	71285	71418	276.705933666	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439279	Восточный проспект	71418	71376	158.748339978	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439280	1-я Пригородная улица	71341	145369	136.091337482	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439281	1-я Пригородная улица	145369	81497	176.080033436	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439282	1-я Пригородная улица	81497	85587	443.206294738	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439283	1-я Шоссейная улица	81470	81454	322.65090906	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439284	1-я Шоссейная улица	81454	6247	385.658772477	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439285	2-я Пригородная улица	71283	81502	299.688738843	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439286	2-я Пригородная улица	81502	81473	447.068249506	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439287	3-я Восточная улица	71402	81420	81.5535116453	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439288	3-я Восточная улица	81420	81419	71.1603448614	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439289	3-я Восточная улица	81419	71391	327.895925173	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439290	3-я Восточная улица	71391	93784	215.835880904	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439291	3-й Восточный переулок	81419	81406	252.396409994	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439292	3-я Пригородная улица	81552	81514	276.582041825	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439293	3-я Пригородная улица	81514	81485	334.894944382	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439294	4-я Пригородная улица	81497	81502	70.0584266851	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439295	4-я Пригородная улица	81502	81514	64.8774077505	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439296	4-я Пригородная улица	81514	81549	225.100649362	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439297	5-я Восточная улица	81426	81413	569.941835884	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439298		72158	143322	19.7083498227	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439299		143350	143352	15.6603250176	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439300		143370	143371	8.33290109886	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439301		143344	72181	5.07578216527	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439302		136815	143356	11.6191079199	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439303		143323	143322	38.6092941172	WALKWAY	1	37.2902423866	500	1	37.2902423866	500	ANY
439304		143321	72174	16.1899178918	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
439305		72174	143344	65.5661019839	LOCAL	1	37.2902423866	500	1	37.2902423866	500	ANY
