node	x	y	z
2940	737131.571128	4775885.546445	0.000000
2941	737115.998053	4775876.454021	0.000000
2943	737119.931147	4775908.158846	0.000000
3002	739743.953302	4776609.415578	0.000000
3003	739757.475269	4776635.922507	0.000000
3012	739607.040820	4776404.157438	0.000000
3014	739709.632533	4776619.439589	0.000000
3017	739171.276221	4777203.417724	0.000000
3020	739246.476975	4777119.067562	0.000000
3030	739397.281082	4776938.596577	0.000000
3032	740197.095334	4776465.608875	0.000000
3033	739764.865256	4776725.340689	0.000000
3042	736305.201841	4778499.160230	0.000000
3062	739405.108122	4779149.121793	0.000000
3071	740421.213596	4779016.967414	0.000000
3072	740532.170891	4778963.072156	0.000000
3073	740466.610688	4778998.376117	0.000000
3079	739116.863896	4777219.622507	0.000000
3092	735970.065052	4777565.562357	0.000000
3095	735938.451691	4777585.739032	0.000000
3096	735934.239431	4777601.994192	0.000000
3104	739106.032333	4777141.015456	0.000000
3108	739241.146017	4776441.056787	0.000000
3144	740565.995234	4775825.347697	0.000000
3164	741443.082564	4776052.193175	0.000000
3165	741433.274118	4776077.432862	0.000000
3180	741108.701237	4774970.736920	0.000000
3182	734641.712372	4778016.422606	0.000000
3183	737027.917550	4776290.269606	0.000000
3190	736832.111353	4776395.970820	0.000000
3210	734368.777232	4776898.529929	0.000000
3217	733068.567019	4775832.260363	0.000000
3223	734347.866662	4777177.579055	0.000000
3224	734728.851706	4777565.027591	0.000000
3234	735630.024993	4777507.440229	0.000000
3236	735677.589916	4777506.994568	0.000000
3237	735677.852669	4777479.138724	0.000000
3277	735631.759227	4777477.544851	0.000000
3285	734387.271229	4777169.282669	0.000000
3286	734018.324759	4776731.333333	0.000000
3291	736983.754346	4778145.947169	0.000000
3295	738828.741103	4777273.213568	0.000000
3296	738850.066071	4777300.981661	0.000000
3297	738872.876793	4777285.424084	0.000000
3300	736756.165622	4779078.973265	0.000000
3318	738883.411305	4777706.306013	0.000000
3324	738919.148053	4777960.531700	0.000000
3364	739110.281048	4779129.970058	0.000000
3365	739342.638852	4779159.291625	0.000000
3369	739203.819459	4779237.001535	0.000000
3372	739188.765004	4779298.320903	0.000000
3376	739243.347694	4779164.588025	0.000000
3378	738916.732549	4777520.808098	0.000000
3380	738847.880093	4777558.614475	0.000000
3384	738313.036449	4778063.334772	0.000000
3405	737043.245884	4783595.093270	0.000000
3407	736651.955010	4783446.832861	0.000000
3408	736602.147113	4783461.679412	0.000000
3409	736489.229979	4783429.409066	0.000000
3410	736371.453135	4783389.399421	0.000000
3414	736074.926200	4779162.297107	0.000000
3417	733916.990480	4777364.010241	0.000000
3419	734404.536916	4777267.246655	0.000000
3421	735860.397524	4778284.832803	0.000000
3425	736011.422976	4778406.081933	0.000000
3428	737101.883014	4779612.180525	0.000000
3437	736287.714279	4781430.854042	0.000000
3439	736283.586170	4781312.655610	0.000000
3441	736273.105622	4781250.323167	0.000000
3445	736222.372379	4781158.628392	0.000000
3451	736164.888868	4780896.750703	0.000000
3458	736896.026663	4783286.077816	0.000000
3466	736649.245061	4782152.204283	0.000000
3475	736679.329209	4782232.143470	0.000000
3476	736691.659053	4782231.538215	0.000000
3477	736862.090650	4783140.275186	0.000000
3478	736873.386750	4783189.650136	0.000000
3479	736839.096555	4783142.599207	0.000000
3480	736851.821340	4783192.324078	0.000000
3481	737011.327938	4783808.233111	0.000000
3482	737022.420183	4783806.862761	0.000000
3484	737009.696057	4783605.143807	0.000000
3494	736993.945655	4783656.100889	0.000000
3496	737310.861843	4784950.778601	0.000000
3497	737237.732133	4784964.928178	0.000000
3498	737373.767596	4785002.924029	0.000000
3502	737519.067675	4784882.134999	0.000000
3504	737044.236439	4784425.739091	0.000000
3505	737002.731814	4784435.311931	0.000000
3506	736919.649274	4784439.989207	0.000000
3507	736839.149321	4784459.312960	0.000000
3509	736977.541366	4783583.096416	0.000000
3512	736885.238688	4782237.362477	0.000000
3524	737653.911673	4782346.861394	0.000000
3529	736845.938203	4782175.526479	0.000000
3530	736797.098250	4782181.232374	0.000000
3534	736726.442606	4782242.588956	0.000000
3546	736404.573108	4780930.978182	0.000000
3548	736439.816225	4780953.618219	0.000000
3560	736912.963250	4780998.522951	0.000000
3562	736951.664935	4780994.499236	0.000000
3576	736742.835629	4779021.956441	0.000000
3584	736756.880690	4778986.228555	0.000000
3586	737948.750792	4777683.835688	0.000000
3587	737948.825090	4777559.688364	0.000000
3589	734963.911155	4777601.026203	0.000000
3590	734874.361378	4777623.024083	0.000000
3595	735125.971265	4777564.818685	0.000000
3601	734918.759973	4779391.409132	0.000000
3602	734258.738169	4778812.540264	0.000000
3604	734203.464249	4778732.627814	0.000000
3605	734181.257380	4778687.276656	0.000000
3606	734167.021074	4778637.740798	0.000000
3607	734093.019501	4778610.690960	0.000000
3608	734031.162003	4778620.129544	0.000000
3616	738775.789365	4776450.472551	0.000000
3625	738106.439771	4776149.873021	0.000000
3680	732714.401163	4775310.184347	0.000000
3682	732614.107489	4775219.479438	0.000000
3684	732535.344310	4775078.218997	0.000000
3689	732737.703753	4774830.043448	0.000000
3693	732913.631757	4775398.921213	0.000000
3702	733266.216061	4775669.188343	0.000000
3703	733289.578019	4775722.257822	0.000000
3706	733277.269275	4775694.306162	0.000000
3711	733540.644641	4776028.396636	0.000000
3719	738872.143311	4777695.658680	0.000000
3722	738703.307876	4777678.945361	0.000000
3723	738680.100852	4777680.745617	0.000000
3724	738575.800581	4777662.415383	0.000000
3725	738292.115339	4777621.966326	0.000000
3726	738386.768469	4777481.544621	0.000000
3727	738387.610342	4777494.973203	0.000000
3728	738408.815936	4777508.246815	0.000000
3731	738487.556005	4777536.087730	0.000000
3735	738543.395388	4777618.859564	0.000000
3748	739143.026631	4777458.457588	0.000000
3749	739172.203045	4777481.587441	0.000000
3751	739230.617209	4777592.455278	0.000000
3754	739371.487066	4777901.860369	0.000000
3755	739469.556514	4778095.498439	0.000000
3756	739485.071717	4778210.999835	0.000000
3771	740403.910039	4778861.278707	0.000000
3778	739592.147079	4777489.355071	0.000000
3780	739862.417758	4777303.209491	0.000000
3784	740003.068907	4777214.343236	0.000000
3787	740056.826884	4777243.168648	0.000000
3789	740194.889962	4777333.733419	0.000000
3791	740304.462944	4777597.489053	0.000000
3802	739685.175526	4777662.136086	0.000000
3809	739981.778538	4777487.874655	0.000000
3826	739217.961811	4778012.814632	0.000000
3848	736622.644001	4777848.017200	0.000000
3853	736923.631316	4777761.269505	0.000000
3854	734904.566990	4777947.689523	0.000000
3855	734919.237708	4778011.230076	0.000000
3857	735075.274511	4778117.685327	0.000000
3860	733799.924362	4777367.265032	0.000000
3861	733684.611298	4777363.354551	0.000000
3867	733608.617864	4777366.864698	0.000000
3883	733846.226280	4776966.743959	0.000000
3886	734022.113910	4777114.515558	0.000000
3898	734444.082406	4777008.063423	0.000000
3900	734409.982938	4776924.609097	0.000000
3907	735178.182007	4777674.743669	0.000000
3908	735302.702594	4777693.108038	0.000000
3909	735369.585107	4777734.023860	0.000000
3911	735245.280862	4777686.055141	0.000000
3912	736589.749152	4777696.963230	0.000000
3923	737217.567672	4777335.556590	0.000000
3924	737132.060378	4777489.154005	0.000000
3930	737506.692490	4777668.414378	0.000000
3934	737516.033871	4777781.603010	0.000000
3935	737680.044302	4777422.723367	0.000000
3936	737682.708264	4777471.775551	0.000000
3940	737688.420346	4777622.622156	0.000000
3941	737677.384216	4777666.003709	0.000000
3945	737676.489649	4777831.786977	0.000000
3948	737660.173991	4777898.791318	0.000000
3960	737840.464910	4777641.036950	0.000000
3962	737923.878060	4777730.091936	0.000000
3966	738067.458585	4777747.971860	0.000000
3975	737126.326417	4779636.638271	0.000000
4001	737929.708287	4779841.326624	0.000000
4004	737950.196820	4779919.434996	0.000000
4005	737964.987084	4779935.708316	0.000000
4007	737988.390424	4779942.275024	0.000000
4020	738235.278465	4779410.626652	0.000000
4025	737303.378156	4779389.246711	0.000000
4030	737133.065018	4779273.743265	0.000000
4033	736783.957388	4781487.718079	0.000000
4034	736667.569606	4781605.817746	0.000000
4035	736612.576437	4781665.463192	0.000000
4039	736631.892682	4781769.523796	0.000000
4040	736649.373418	4781820.992187	0.000000
4044	736455.357274	4781749.611050	0.000000
4047	737946.721615	4780667.141417	0.000000
4067	737262.232293	4781325.826590	0.000000
4068	737247.190539	4781336.444094	0.000000
4071	736839.852718	4781463.298463	0.000000
4072	737106.266393	4780584.067513	0.000000
4086	737619.419732	4780696.196455	0.000000
4092	737816.000496	4780601.560632	0.000000
4105	738143.364273	4781048.805001	0.000000
4110	738269.616821	4781257.535876	0.000000
4116	738535.790723	4781448.287541	0.000000
4123	738706.148717	4781899.894747	0.000000
4125	738684.965321	4781966.037041	0.000000
4126	738680.859319	4782003.488898	0.000000
4131	738765.300472	4782231.348147	0.000000
4172	739432.490218	4782765.125385	0.000000
4173	739325.662911	4782909.994656	0.000000
4176	739166.023801	4783090.615733	0.000000
4189	736775.395056	4782663.142407	0.000000
4197	737688.830638	4782389.412734	0.000000
4198	737685.299902	4782440.384126	0.000000
4200	737681.654755	4782614.412555	0.000000
4202	737649.923911	4782730.694188	0.000000
4206	737538.774560	4782914.945685	0.000000
4207	736855.838485	4783112.948037	0.000000
